DrugID,DiseaseID
DB01229,MESH:D000435
DB00822,MESH:D000435
DB00898,MESH:D000435
DB00659,MESH:D000435
DB01392,MESH:D000435
DB00822,MESH:D000437
DB00230,MESH:D000437
DB00904,MESH:D000437
DB00704,MESH:D000437
DB01183,MESH:D000437
DB00659,MESH:D000437
DB00313,MESH:D000437
DB06155,MESH:D000437
DB00916,MESH:D000437
DB00657,MESH:D000437
DB00898,MESH:D000437
DB01577,MESH:D000437
DB00776,MESH:D000437
DB06230,MESH:D000437
DB00746,MESH:D000437
DB00273,MESH:D000437
DB00334,MESH:D000437
DB00842,MESH:D000437
DB00165,MESH:D000437
DB00184,MESH:D000437
DB00780,MESH:D000437
DB00186,MESH:D000437
DB01454,MESH:D000437
DB01373,MESH:D000437
DB01238,MESH:D000437
DB00285,MESH:D000437
DB00181,MESH:D000437
DB01273,MESH:D000437
DB00783,MESH:D000437
DB01275,MESH:D000471
DB00607,MESH:D000471
DB00887,MESH:D000471
DB00479,MESH:D000471
DB00415,MESH:D000471
DB00524,MESH:D000471
DB00571,MESH:D000471
DB08804,MESH:D000471
DB00797,MESH:D000471
DB00282,MESH:D000471
DB00819,MESH:D000471
DB00578,MESH:D000471
DB00313,MESH:D000471
DB01373,MESH:D000471
DB00968,MESH:D000471
DB00594,MESH:D000471
DB06718,MESH:D000471
DB00136,MESH:D000471
DB00314,MESH:D000471
DB00531,MESH:D000471
DB00541,MESH:D000471
DB01436,MESH:D000471
DB01541,MESH:D000471
DB00695,MESH:D000471
DB00687,MESH:D000471
DB00741,MESH:D000471
DB00641,MESH:D000505
DB00648,MESH:D000505
DB00563,MESH:D000505
DB01216,MESH:D000505
DB00273,MESH:D000505
DB00136,MESH:D000505
DB00444,MESH:D000505
DB00313,MESH:D000505
DB01204,MESH:D000505
DB00755,MESH:D000505
DB00688,MESH:D000505
DB01181,MESH:D000505
DB00441,MESH:D000505
DB06774,MESH:D000505
DB01174,MESH:D000505
DB00907,MESH:D000505
DB00338,MESH:D000505
DB01196,MESH:D000505
DB00544,MESH:D000505
DB01177,MESH:D000505
DB00238,MESH:D000505
DB00987,MESH:D000505
DB01229,MESH:D000505
DB01248,MESH:D000505
DB00309,MESH:D000505
DB01394,MESH:D000505
DB00399,MESH:D000505
DB00350,MESH:D000505
